file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_MV0772_0235_1648443_to_1652695,མཐུན་སྦྱོར་ཚད་གཞིའི་ཚོགས་འདུ་འཚོགས་རྩིས་ཡོད་སེ་ཞུ་ཀར་བཅར་པ་ཡིན། ཨ་ལེ། སྐབས་དེ་དུས་ལྷན་རྒྱས་ཡིན་གཅིག་ཕེབས་རོགས་གནང་།  ,mthun sbyor tshad gzhi'i tshogs 'du 'tshogs rtsis yod se zhu kar bcar pa yin/_a le/_skabs de dus lhan rgyas yin gcig phebs rogs gnang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0772_0235_1648443_to_1652695.wav,STT_MV,2,117,4.252,wav16k/STT_MV0772_0235_1648443_to_1652695.wav,ཐོང་ཆུང་རྩད་གཞི་ཚོགས་འདུ་ཚོགས་ཅུག། ཨ་ལེ་ཞུ་ག་ྱ། སྐབས་དེ་དུས་ལྷན་རྒྱས་ཡིན་གཅིག་ཕེབས་རོགས་གནང་།
STT_MV0772_0237_1659587_to_1663055,ངས་ཁྱེད་རང་ལ་ཞུས་དགོས། ངས་འཛུགས་སྐྲུན་ཀུང་སིར་གཏའ་མ་དངུལ་གཅིག་ད་སྤྲད་ཚར་པ་ཡིན།  ,ngas khyed rang la zhus dgos/_ngas 'dzugs skrun kung sir gta' ma dngul gcig da sprad tshar pa yin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0772_0237_1659587_to_1663055.wav,STT_MV,2,80,3.468,wav16k/STT_MV0772_0237_1659587_to_1663055.wav,ངས་ཁྱེད་རང་ཞུ་དགོས། ངས་འཇུགས་སྐྲུན་ཀུན་སིའི་ཏའ་དམར་དངུལ་གཞི་དང་སྤྲད་ཚར་པ་ཡིན།
STT_AB00632_0023_157465_to_163831,དེའི་ཕྱིར་དབང་པོའི་ཤེས་པ་འཇིག་རྟེན་རང་དགའ་བ་ལ་ལྟོས་པའི་འཁྲུལ་མ་འཁྲུལ་གང་ཡིན་ཀྱང་།  ,de'i phyir dbang po'i shes pa 'jig rten rang dga' ba la ltos pa'i 'khrul ma 'khrul gang yin kyang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00632_0023_157465_to_163831.wav,STT_AB,2,83,6.366,wav16k/STT_AB00632_0023_157465_to_163831.wav,དེའི་ཕྱིར་དབང་པོའི་ཤེས་པ་འཇིག་རྟེན་རང་དགའ་བ་ལ་ལྟོས་པའི་འཁྲུལ་མ་འཁྲུལ་གང་ཡིན་ཀྱང་།
STT_AB00725_0073_447278_to_452158,མི་རྟག་པ་དང་བདག་ཏུ་མ་གྲུབ་པའི་ངོ་བོར་མེད་ཚེ་དེ་ཉིད་ཆར་པའི་ངོ་བོར་འགྱུར་བ་ག་ལ་སྲིད།  ,mi rtag pa dang bdag tu ma grub pa'i ngo bor med tshe de nyid char pa'i ngo bor 'gyur ba ga la srid/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00725_0073_447278_to_452158.wav,STT_AB,2,84,4.88,wav16k/STT_AB00725_0073_447278_to_452158.wav,མི་རྟག་པ་དང་བདག་ཏུ་མ་གྲུབ་པའི་ངོ་བོར་མེད་ཚེ། བདེན་གཉིས་ཤ་པའི་ངོ་བོར་གྱུར་བ་ག་ལ་སྲིད།
STT_AB00725_0075_456629_to_459752,བྱིས་པ་དེའང་ནར་སོན་ཏེ་དར་མ་རུ་འགྱུར་མི་སྲིད་པ་དེའོ།  ,byis pa de'ang nar son te dar ma ru 'gyur mi srid pa de'o/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00725_0075_456629_to_459752.wav,STT_AB,2,53,3.123,wav16k/STT_AB00725_0075_456629_to_459752.wav,རྗེས་པག་དེ་ཡང་ནབ་སོན་ཏེ། འདར་ྨ་རུ་ཡུར་མི་སྲིད་པ་དེའོ།
STT_AB00632_0024_164001_to_166697,རང་གི་གཞལ་བྱ་གྲུབ་པས་ཡུལ་ཅན་འགྲུབ་བོ།  ,rang gi gzhal bya grub pas yul can 'grub bo/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00632_0024_164001_to_166697.wav,STT_AB,2,39,2.696,wav16k/STT_AB00632_0024_164001_to_166697.wav,རང་གི་གཞལ་བྱ་འགྲུབ་པས་ཡུལ་ཅན་འགྲུབ་བོ།
STT_AB00621_0064_429923_to_434684,གལ་ཏེ་གང་ཟག་དང་ཆོས་རང་གི་མཚན་ཉིད་ཀྱིས་གྲུབ་པ་ཡོད་པར་འདོད་པའི་ཕྱོགས་ལ།  ,gal te gang zag dang chos rang gi mtshan nyid kyis grub pa yod par 'dod pa'i phyogs la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00621_0064_429923_to_434684.wav,STT_AB,2,71,4.761,wav16k/STT_AB00621_0064_429923_to_434684.wav,གལ་ཏེ་གང་ཟག་དང་ཆོས་རང་གི་མཚན་ཉིད་ཀྱིས་གྲུབ་པ་ཡོད་པར་འདོད་པས་ཕྱོགས་ལ་
STT_MV0772_0242_1690991_to_1698806,རང་གི་ཉིན་གུང་ཁ་ལག་ངས་ཤོད་ཆན་དང་ཧུའེ་ཚི་ལ་བཟོས་ལབ་བྱེད་ཚུར་བསྐྱལ་ཡོང་བ་ཡོད། ཨ། རང་ཐུག་པ་འཐུང་འདོད་འདུག འབྲས་ཟ་འདོད་འདུག་ཨ།  ,rang gi nyin gung kha lag ngas shod chan dang hu'e tshi la bzos lab byed tshur bskyal yong ba yod/_a/_rang thug pa 'thung 'dod 'dug_'bras za 'dod 'dug a/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0772_0242_1690991_to_1698806.wav,STT_MV,2,124,7.815,wav16k/STT_MV0772_0242_1690991_to_1698806.wav,རང་གི་ཉིན་གུང་ཁ་ལག་ངས་ཤོས་ཅན་དང་ཁུའེ་ྱས་བཟོས་ལབ་བྱས་ཚུར་ྐྱེལ་ཡོང་གེད། ཨ། རང་ཐུག་པ་གཏོང་མི་འདོད་འདུག འདྲེ་ཟ་འདོད་འདུག་ག
STT_AB00632_0025_167380_to_172090,འོན་ཀྱང་རང་རིག་ཁས་མི་ལེན་པ་ལ་གཞི་དུས་ཀྱི་ཡིད་ཤེས་སྣང་བ་དང་།  ,'on kyang rang rig khas mi len pa la gzhi dus kyi yid shes snang ba dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00632_0025_167380_to_172090.wav,STT_AB,2,61,4.71,wav16k/STT_AB00632_0025_167380_to_172090.wav,འོན་ཀྱང་རང་རིག་ཁས་མི་ལེན་པ་ལ་གཞི་དུས་ཀྱི་ཡིད་ཤེས་སྣང་བ་དང་།
STT_AB00632_0033_221100_to_230093,མངོན་སུམ་ཚད་མ་ལ་ལུགས་གཞན་ནས་བཞི་བཤད་པའི་རང་རིག་མངོན་སུམ་བཀག་ལ་ཡིད་ཀྱི་མངོན་སུམ་ཡང་ཚད་མ་ནས་བཤད་པ་ལྟར་མི་བཞེད་དེ།  ,mngon sum tshad ma la lugs gzhan nas bzhi bshad pa'i rang rig mngon sum bkag la yid kyi mngon sum yang tshad ma nas bshad pa ltar mi bzhed de/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00632_0033_221100_to_230093.wav,STT_AB,2,113,8.993,wav16k/STT_AB00632_0033_221100_to_230093.wav,མངོན་སུམ་ཚད་མ་ལ་ལུགས་ཞན་ནས་གཞི་བཤད་པའི་རང་རིག་མངོན་སུམ་བཀག་ལ། ཡིད་ཀྱི་མངོན་སུམ་ཡང་ཚད་མ་ནས་བཤད་པ་ལྟར་མི་བཞེད་དེ།
